id,en,de,es,fr,phe,kcal,emoji
17168,"Game meat, goat, raw","Wildfleisch, Ziege, roh","Carne de caza, cabra, cruda","Viande de gibier, chèvre, crue",0.715,109.0,🍖
17169,"Game meat, goat, cooked, roasted","Wildfleisch, Ziege, gekocht, gebraten","Carne de caza, cabra, cocida, asada","Viande de gibier, chèvre, cuite, rôtie",0.941,143.0,🍖
17161,"Game meat, buffalo, water, cooked, roasted","Wildfleisch, Büffel, Wasser, gekocht, gebraten","Carne de caza, búfalo, agua, cocida, asada","Viande de gibier, buffle, eau, cuite, rôtie",1.08,131.0,🍖
17160,"Game meat, buffalo, water, raw","Wildfleisch, Büffel, Wasser, roh","Carne de caza, búfalo, agua, cruda.","Viande de gibier, buffle, eau, crue",0.817,99.0,🍖
17159,"Game meat, boar, wild, cooked, roasted","Wildfleisch, Wildschwein, Wild, gekocht, gebraten","Carne de caza, jabalí, salvaje, cocida, asada","Viande de gibier, sanglier, sauvage, cuite, rôtie",1.13,160.0,🍖
17166,"Game meat, elk, raw","Wildfleisch, Elch, roh","Carne de caza, alce, cruda","Viande de gibier, wapiti, crue",0.91,111.0,🍖
17167,"Game meat, elk, cooked, roasted","Wildfleisch, Elch, gekocht, gebraten","Carne de caza, alce, cocida, asada","Viande de gibier, wapiti, cuite, rôtie",1.2,146.0,🍖
17151,"Game meat, beaver, cooked, roasted","Wildfleisch, Biber, gekocht, gebraten","Carne de caza, castor, cocida, asada","Viande de gibier, castor, cuite, rôtie",1.42,212.0,🍖
17158,"Game meat, boar, wild, raw","Wildfleisch, Wildschwein, Wild, roh","Carne de caza, jabalí, salvaje, cruda.","Viande de gibier, sanglier, sauvage, crue",0.86,122.0,🍖
17150,"Game meat, beaver, raw","Wildfleisch, Biber, roh","Carne de caza, castor, cruda","Viande de gibier, castor, crue",0.977,146.0,🍖
17149,"Bison, ground, grass-fed, raw","Bison, gemahlen, grasgefüttert, roh","Bisonte, molido, alimentado con pasto, crudo","Bison, haché, nourri à l'herbe, cru",0.859,146.0,🍽️
17141,"Veal, cubed for stew (leg and shoulder), separable lean only, cooked, braised","Kalbfleisch, gewürfelt für Eintopf (Keule und Schulter), teilbar, nur mager, gegart, geschmort","Ternera, cortada en cubitos para guiso (pierna y paleta), sólo magro separable, cocida, estofada","Veau, cubes pour ragoût (cuisse et épaule), maigre séparable seulement, cuit, braisé",1.41,188.0,🍲
17142,"Veal, ground, raw","Kalbfleisch, gemahlen, roh","Ternera, molida, cruda","Veau, haché, cru",0.749,197.0,🍽️
17143,"Veal, ground, cooked, broiled","Kalbfleisch, gemahlen, gekocht, gegrillt","Ternera, molida, cocida, asada","Veau, haché, cuit, grillé",0.984,172.0,🍽️
17144,"Game meat, antelope, raw","Wildfleisch, Antilope, roh","Carne de caza, antílope, cruda","Viande de gibier, antilope, crue",0.886,114.0,🍖
17127,"Veal, shoulder, arm, separable lean only, cooked, roasted","Kalbfleisch, Schulter, Kalbfleisch, nur teilbar, mager, gekocht, gebraten","Ternera, paleta, brazo, sólo magro separable, cocido, asado","Veau, épaule, bras, maigre séparable seulement, cuit, rôti",1.06,164.0,🍽️
